Address,Price,Date,Url,Lat,Lon,LSOACode,LowerLayerSuperOutputArea,ConstituencyCode
"Rivington Crescent, Birmingham, B44",170000,2019-10-01,https://www.rightmove.co.uk/property-for-sale/property-61229421.html,52.5472887821779,-1.86753220569389,E01009132,Birmingham 014D,E05011150
"Rocky Lane, Birmingham",160000,2019-10-25,https://www.rightmove.co.uk/property-for-sale/property-74967157.html,52.530795690859,-1.92182894944218,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Birmingham",170000,2020-01-19,https://www.rightmove.co.uk/property-for-sale/property-76796965.html,52.5313369915829,-1.9247762451586,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Birmingham, B42",179950,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-72510553.html,52.5313369915829,-1.9247762451586,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Great Barr",167500,2019-10-09,https://www.rightmove.co.uk/property-for-sale/property-65646894.html,52.5313369915829,-1.9247762451586,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Great Barr, Birmingham, West Midland",180000,2019-11-12,https://www.rightmove.co.uk/property-for-sale/property-74169007.html,52.5316964927444,-1.9246282191521,E01009237,Birmingham 024A,E05011160
"Rocky Lane, Great Barr, Birmingham, West Midland",185000,2019-10-17,https://www.rightmove.co.uk/property-for-sale/property-74169007.html,52.5316964927444,-1.9246282191521,E01009237,Birmingham 024A,E05011160
"Rocky Lane, Great Barr, Birmingham, West Midland",190000,2019-09-15,https://www.rightmove.co.uk/property-for-sale/property-74169007.html,52.5316964927444,-1.9246282191521,E01009237,Birmingham 024A,E05011160
"Rocky Lane, Great Barr, Birmingham, West Midlands",180000,2019-09-28,https://www.rightmove.co.uk/property-for-sale/property-72161038.html,52.5303455119822,-1.92079788052699,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Great Barr, Birmingham, West Midlands, B42",185000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-83495612.html,52.5310692202701,-1.92787234849712,E01009237,Birmingham 024A,E05011160
"Rocky Lane, Great Barr, West Midlands, B42",167500,2019-10-09,https://www.rightmove.co.uk/property-for-sale/property-62502360.html,52.5313369915829,-1.9247762451586,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Great Barr, West Midlands, B42",169950,2019-09-27,https://www.rightmove.co.uk/property-for-sale/property-62502360.html,52.5313369915829,-1.9247762451586,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Nechells, Birmingham, West Midlands, B7",160000,2019-11-12,https://www.rightmove.co.uk/property-for-sale/property-74947303.html,52.4956018840796,-1.8721060692103,E01009201,Birmingham 043A,E05011155
"Rocky Lane, Nechells, Birmingham, West Midlands, B7",170000,2019-10-23,https://www.rightmove.co.uk/property-for-sale/property-74947303.html,52.4956018840796,-1.8721060692103,E01009201,Birmingham 043A,E05011155
"Rocky Lane, Perry Barr",160000,2019-11-20,https://www.rightmove.co.uk/property-for-sale/property-75638011.html,52.5291739975442,-1.91667262856654,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Perry Barr, Birmingham",160000,2019-11-10,https://www.rightmove.co.uk/property-for-sale/property-86421929.html,52.530795690859,-1.92182894944218,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Perry Barr, Birmingham, West Midlands",160000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-69670186.html,52.5291739975442,-1.91667262856654,E01009240,Birmingham 024C,E05011160
"Rocky Lane, Perry Barr, Birmingham, West Midlands",170000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73641322.html,52.5303455119822,-1.92079788052699,E01009240,Birmingham 024C,E05011160
"Romany Road, Birmingham",159500,2019-11-20,https://www.rightmove.co.uk/property-for-sale/property-86621408.html,52.4028897622424,-2.03185162631557,E01009161,Birmingham 125F,E05011136
"Romany Road, Rednal, Birmingham, B45",159500,2019-10-27,https://www.rightmove.co.uk/property-for-sale/property-85939643.html,52.4028897622424,-2.03185162631557,E01009161,Birmingham 125F,E05011136
"Rotherfield Road, Sheldon, Birmingham",180000,2019-09-18,https://www.rightmove.co.uk/property-for-sale/property-63885039.html,52.4685965956325,-1.78548155515053,E01009323,Birmingham 069E,E05011137
"Rowdale Road, Birmingham, B42",180000,2019-11-10,https://www.rightmove.co.uk/property-for-sale/property-63704955.html,52.5353742483232,-1.91282784756899,E01009236,Birmingham 019B,E05011160
"Rowheath Road, Cotteridge, Birmingham",175000,2020-01-09,https://www.rightmove.co.uk/property-for-sale/property-67523976.html,52.4177969701108,-1.9301151041997,E01008960,Birmingham 116B,E05011129
"Rubery Lane, Birmingham, B45",195000,2019-12-18,https://www.rightmove.co.uk/property-for-sale/property-66464163.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Rubery Lane, Birmingham, B45",199500,2019-11-24,https://www.rightmove.co.uk/property-for-sale/property-66464163.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Rubery Lane, Birmingham, B45",200000,2019-09-08,https://www.rightmove.co.uk/property-for-sale/property-64162845.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Rubery Lane, Rubery, Birmingham",185000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-73981321.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Rubery Lane, Rubery, Birmingham, B45",180000,2019-10-23,https://www.rightmove.co.uk/property-for-sale/property-65841831.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Rubery Lane, Rubery, Birmingham, B45",185000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64550586.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Rubery Lane, Rubery,Rednal, Birmingham, B45",195000,2019-12-18,https://www.rightmove.co.uk/property-for-sale/property-75083689.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Rubery Lane, Rubery,Rednal, Birmingham, B45",200000,2019-10-29,https://www.rightmove.co.uk/property-for-sale/property-75083689.html,52.4019046193728,-2.01127358420018,E01009159,Birmingham 130A,E05011136
"Runcorn Road, Birmingham, B12",155000,2019-09-10,https://www.rightmove.co.uk/property-for-sale/property-59608341.html,52.4540760613326,-1.87958388353003,E01009377,Birmingham 083C,E05011170
"Runcorn Road, Birmingham, B12",165000,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-59608341.html,52.4540760613326,-1.87958388353003,E01009377,Birmingham 083C,E05011170
"Rushey Lane, Birmingham",160000,2019-12-26,https://www.rightmove.co.uk/property-for-sale/property-67275642.html,52.4532107232681,-1.83323343175384,E01008889,Birmingham 078D,E05011182
"Ryde Park Road, Rednal",195000,2019-10-21,https://www.rightmove.co.uk/property-for-sale/property-64618545.html,52.3902180477134,-1.99892740197958,E01009169,Birmingham 129D,E05011164
"Ryde Park Road, Rednal",199950,2019-09-06,https://www.rightmove.co.uk/property-for-sale/property-64618545.html,52.3902180477134,-1.99892740197958,E01009169,Birmingham 129D,E05011164
"Ryde Park Road, Rednal, Birmingham",185000,2019-12-18,https://www.rightmove.co.uk/property-for-sale/property-74151160.html,52.3924655234895,-1.99642921863228,E01009169,Birmingham 129D,E05011164
"Ryde Park Road, Rednal, Birmingham, B45",185000,2019-12-04,https://www.rightmove.co.uk/property-for-sale/property-66392475.html,52.3902180477134,-1.99892740197958,E01009169,Birmingham 129D,E05011164
"Ryde Park Road, Rednal, Birmingham, B45",195000,2019-11-14,https://www.rightmove.co.uk/property-for-sale/property-66392475.html,52.3902180477134,-1.99892740197958,E01009169,Birmingham 129D,E05011164
"Ryde Park Road, Rednal, Birmingham, B45 8RG",170000,2019-12-12,https://www.rightmove.co.uk/property-for-sale/property-76129900.html,52.3920160448627,-1.9974578885935,E01009169,Birmingham 129D,E05011164
"Ryde Park Road, Rednal, Birmingham, West Midlands, B45",179950,2019-10-23,https://www.rightmove.co.uk/property-for-sale/property-65923590.html,52.3943534424024,-1.99642907752917,E01009165,Birmingham 129C,E05011164
"Salstar Close, Birmingham, West Midlands, B6",160000,2019-10-17,https://www.rightmove.co.uk/property-for-sale/property-65777136.html,52.4969696408542,-1.89139811651274,E01008910,Birmingham 050A,E05011156
"Sandringham Road, Birmingham",170000,2019-09-21,https://www.rightmove.co.uk/property-for-sale/property-84931256.html,52.531872088221,-1.91828909718355,E01009238,Birmingham 024B,E05011160
